Ship,Class,Type,First commissioned,Fate,Country or organization,Displacement (tons)
Barbarigo,Marcello,submarine,12 June 1938,sailed from Bordeaux on 17 June 1943 and was sunk by aircraft in the Bay of Biscay.,Regia Marina,"1,060"
Barber,Buckley,destroyer escort,10 October 1943,"to Mexico 1969, struck 2001",United States,"1,400"
Barfleur,Battle,destroyer,14 September 1944,"paid off 1958, scrapped 1966",Royal Navy,"2,325"
Barham,Queen Elizabeth,battleship,19 August 1915,sunk 25 November 1941,Royal Navy,"31,000"
Bari,Taranto,light cruiser,21 January 1924,"Sunk 28 June 1943, scrapped 1948",Regia Marina,"4,390"
Bario,Flutto,submarine,,"unfinished at armistice September 1943, continued by Germans, launched 23 January 1944 UIT 7. Scuttled May 1945",Regia Marina,930
Barker,Clemson,destroyer,17 December 1919,scrapped 1945,United States,"1,200"
Barnes,Bogue,escort carrier,20 February 1943,"Decommissioned 29 August 1946, scrapped 1959",United States,"11,400"
Barney,Wickes,destroyer,14 March 1919,scrapped 1946,United States,"1,190"
Baroda,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Baron,Cannon,destroyer escort,05 July 1943,"to Uruguay 1952, scrapped 1990",United States,"1,240"
Barr,Buckley,destroyer escort,16 February 1944,sunk as target 1963,United States,"1,400"
Barrie,Flower,corvette,12 May 1941,paid off 26 June 1945,Royal Canadian Navy,925
Barry,Clemson,destroyer,15 November 1921,sunk 21 June 1945,United States,"1,200"
Bartolomeo Colleoni,Giussano,light cruiser,10 February 1932,Sunk 19 July 1940,Regia Marina,"6,954"
Barton,Benson,destroyer,29 May 1942,sunk 13 November 1942,United States,"1,620"
Barton,Sumner,destroyer,30 December 1943,sunk as target 1969,United States,"2,200"
"Basarabia	",Enns,monitor,01 January 1920,Built in Austria-Hungary during the First World War,Romania,540
Basilisk,B,destroyer,04 March 1931,sunk 1 June 1940,Royal Navy,"1,350"
Bataan,Tribal,destroyer,25 May 1945,scrapped 1958,Royal Australian Navy,"2,020"
Bataan,Independence,light aircraft carrier,17 November 1943,"decommissioned 9 April 1954, scrapped 1960",United States,"11,000"
Bates,Buckley,destroyer escort,13 September 1943,sunk by kamikazes 25 May 1945,United States,"1,400"
Bath,Town,destroyer,23 September 1940,"to Norway as HNoMS Bath 9 January 1941, sunk on 19 August 1941",Royal Navy,"1,190"
Battleford,Flower,corvette,31 July 1941,paid off 18 July 1945,Royal Canadian Navy,925
Battler,Attacker,escort carrier,31 October 1942,"paid off 12 February 1946, scrapped 14 May 1946",Royal Navy,"10,000"
Bauru,Cannon,destroyer escort,11 October 1943,"to Brazil 16 August 1944, paid off 17 September 1981, museum ship",United States,"1,240"
Beacon Hill,River,frigate,16 May 1944,paid off 15 September 1967,Royal Canadian Navy,"1,445"
Beagle,B,destroyer,09 April 1931,scrapped January 1946,Royal Navy,"1,350"
Beale,Fletcher,destroyer,23 December 1942,sunk as target 1969,United States,"2,050"
Béarn,Normandie,aircraft carrier,01 May 1927,"stricken November 1966, scrapped March 1967",French Navy,"22,150"
Bearss,Fletcher,destroyer,12 April 1944,"decommissioned 1963, scrapped 1976",United States,"2,050"
Beatty (I),Gleaves,destroyer,07 May 1942,sunk 6 November 1943,United States,"1,630"
Beatty (II),Sumner,destroyer,31 March 1945,"to Venezuela 1972, scrapped 1981",United States,"2,200"
Beaufort,Hunt,destroyer escort,03 November 1941,scrapped 1965,Royal Navy,"1,000"
Beauharnois,Flower modified,corvette,25 September 1944,Sold to Mossad LeAliyah Bet in 1946,Royal Canadian Navy,"1,015"
Bebas,Evarts,destroyer escort,15 May 1943,scrapped 1945,United States,"1,140"
Beberibe,Cannon,destroyer escort,06 October 1943,"to Brazil 1 August 1944, paid off 1968",United States,"1,240"
Bedouin,Tribal,destroyer,15 March 1939,Sunk 15 June 1942,Royal Navy,"2,020"
Begonia,Flower,corvette,03 March 1941,"to USA as Impluse 10 March 1942, to UK 22 August 1945, paid off 22 July 1948",Royal Navy,925
Begum,Ruler,escort carrier,02 August 1943,"paid off 20 March 1946, scrapped 1974",Royal Navy,"11,400"
Beilul,Adua,submarine,22 May 1938,"sunk by Allied air attack, May 1944",Regia Marina,697
Belfast,Town class,light cruiser,05 August 1939,Museum ship since 21 October 1971 moored in London next to Tower Bridge,Royal Navy,"11,553"
Bell,Fletcher,destroyer,04 March 1943,"decommissioned 1946, sunk as target 1975",United States,"2,050"
Belleau Wood,Independence,light aircraft carrier,31 March 1943,"decommissioned 13 January 1947, scrapped 1961",United States,"11,000"
Belleville,Flower modified,corvette,19 October 1944,Sold to the Dominican Republic in 1947,Royal Canadian Navy,"1,015"
Bellwort,Flower,corvette,20 November 1941,"Sold to the Irish Naval Service, 1946",Royal Navy,925
Belmont,Town,destroyer,08 October 1940,sunk 31 January 1942,Royal Navy,"1,200"
Belvoir,Hunt,destroyer escort,29 March 1942,"paid off 1957, scrapped 21 October 1957",Royal Navy,"1,050"
Benevente,Cannon,destroyer escort,23 October 1943,"to Brazil 19 December 1944, paid off 1964",United States,"1,240"
Bengal,Bathurst,corvette,08 August 1942,Decommissioned 1960,Royal Indian Navy,"1,025"
Benham (I),Benham,destroyer,02 February 1939,sunk 15 November 1942,United States,"1,500"
Benham (II),Fletcher,destroyer,20 December 1943,"to Peru 1960, scrapped 1980",United States,"2,050"
Benner,Gearing,destroyer,13 February 1945,scrapped 1975,United States,"2,250"
Bennett,Fletcher,destroyer,09 February 1943,"to Brazil 1959, scrapped 1978",United States,"2,050"
Bennington,Essex,aircraft carrier,06 August 1944,"decommissioned 15 January 1970, scrapped 1994",United States,"30,800"
Bennion,Fletcher,destroyer,14 December 1943,"decommissioned 1946, scrapped 1973",United States,"2,050"
Benson,Benson,destroyer,25 July 1940,"transferred to Taiwan 1954, scrapped 1974",United States,"1,620"
Berar,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Bergamot,Flower,corvette,12 May 1941,"Sold to Greek Ferry Company to service Greek Islands, May 1946",Royal Navy,925
Berillo,Perla,submarine,2 October 1940,Sunk by HMS Havock and HMS Hasty about 120 miles north of Sidi Barrani,Regia Marina,695
Berkeley,Hunt,destroyer escort,06 June 1940,scuttled 19 August 1942,Royal Navy,"1,000"
Bermuda,Crown Colony-class (Fiji Group),light cruiser,21 August 1942,scrapped 1965,Royal Navy,"8,000"
Bernadou,Wickes,destroyer,19 May 1919,scrapped 1945,United States,"1,190"
Bersagliere,Soldati,destroyer,01 April 1939,Lost on 7 January 1943 after being bombed in Palermo harbour. 59 casualties.,Regia Marina,"1,850"
Bertioga,Cannon,destroyer escort,15 September 1943,"to Brazil 1 August 1944, paid off 1964",United States,"1,240"
Betony,Flower modified,corvette,31 August 1943,to RIN as Sind 24 March 1945,Royal Navy,"1,015"
Bettino Ricasoli  ,Sella,destroyer,11 December 1926,"Sold to Sweden, 1940",Regia Marina,970
Beverley,Town,destroyer,08 October 1940,sunk 11 April 1943,Royal Navy,"1,200"
Bicester,Hunt,destroyer escort,09 May 1942,"paid off 1955, scrapped 1956",Royal Navy,"1,050"
Biddle,Wickes,destroyer,22 April 1919,scrapped 1946,United States,"1,190"
Bideford,Shoreham,sloop,23 February 1932,Sold 14 September 1947,Royal Navy,"1,105"
Big Horn,,Q-ship,15 April 1942,"Sold for disposal, 22 November 1946",United States,
Biloxi,Cleveland,light cruiser,31 August 1943,Scrapped 1962,United States,"11,800"
Bismarck,Bismarck,battleship,24 August 1940,sunk 27 May 1941,Kriegsmarine,"41,700"
Bismarck Sea,Casablanca,escort carrier,20 May 1944,sunk 21 February 1945,United States,"7,800"
Biter,Attacker,escort carrier,05 May 1942,Transferred to France as Dixmude 1945,Royal Navy,"8,200"
Bittersweet,Flower,corvette,23 January 1941,"to Canada 15 May 1941, paid off 22 June 1945",Royal Navy,925
Bivin,Butler,destroyer escort,31 October 1944,"decommissioned 1947, sunk as target 1969",United States,"1,350"
Black,Fletcher,destroyer,21 May 1943,scrapped 1971,United States,"2,050"
Black Prince,Dido,light cruiser,30 November 1943,Decommissioned March 1962,Royal Navy,"5,950"
Blackmore,Hunt,destroyer escort,14 April 1942,Sold to the Royal Danish Navy in 1954 and renamed Esben Snare. Scrapped in 1966.,Royal Navy,"1,050"
Blair,Edsall,destroyer escort,13 September 1943,"decommissioned 1960, scrapped 1972",United States,"1,250"
Blakeley,Wickes,destroyer,08 May 1919,scrapped 1945,United States,"1,190"
Blanche,B,destroyer,14 February 1931,sunk 13 November 1939,Royal Navy,"1,350"
Blanco Encalada,,protected cruiser,1/1/1893,scrapped 1946,Chile,"4,420"
Blankney,Hunt,destroyer escort,11 April 1941,scrapped 1958,Royal Navy,"1,050"
Blean,Hunt,destroyer escort,23 August 1942,sunk 11 December 1942 by U-443,Royal Navy,"1,050"
Bleasdale,Hunt,destroyer escort,16 April 1942,"paid off 1956, scrapped14 September 1956",Royal Navy,"1,050"
Blencathra,Hunt,destroyer escort,14 December 1940,"paid off July 1948, scrapped 1957",Royal Navy,"1,050"
Blessman,Buckley,destroyer escort,19 September 1943,"to Taiwan 1967, scrapped 1995",United States,"1,400"
Block Island,Bogue,escort carrier,08 March 1943,Sunk 29 May 1944,United States,"9,800"
Block Island,Commencement Bay,escort carrier,30 December 1944,"decommissioned 1954, scrapped 1960",United States,"14,400"
Blücher,Admiral Hipper,heavy cruiser,20 September 1939,sunk 9 April 1940,Kriegsmarine,"14,000"
Blue (I),Bagley,destroyer,14 August 1937,sunk 22 August 1942,United States,"1,500"
Blue (II),Sumner,destroyer,20 March 1944,sunk as target 1974,United States,"2,200"
Bluebell,Flower,corvette,19 July 1940,sunk on 17 February 1945 by U-711,Royal Navy,925
Błyskawica,Grom,destroyer,25 November 1937,"decommissioned 1 May 1976, preserved as museum ship",Poland,"1,975"
Boadicea,B,destroyer,07 April 1931,sunk 13 June 1944,Royal Navy,"1,350"
Bocaina,Cannon,destroyer escort,03 September 1943,"to Brazil 20 March 1945, paid off 1975",United States,"1,240"
Boggs,Wickes,minesweeper destroyer,23 September 1918,scrapped 1946,United States,"1,190"
Bogue,Bogue,escort carrier,26 September 1942,"Decommissioned 30 November 1946, scrapped 1960",United States,"9,800"
Boise,Brooklyn,light cruiser,12 August 1938,"Decommissioned 11 January 1951, sold to Argentina. Scrapped 1978",United States,"9,950"
Bolzano,Trento,heavy cruiser,01 January 1933,sunk 1944,Regia Marina,"10,511"
Bombardiere,Soldati,destroyer,15 July 1942," Sunk by submarine, 17 January 1943",Regia Marina,"1,850"
Bombay,Bathurst,corvette,24 April 1942,Decommissioned 1960,Royal Indian Navy,"1,025"
Bon Homme Richard,Essex,aircraft carrier,26 November 1944,"decommissioned 2 July 1971, scrapped 1992",United States,"30,800"
Booth,Cannon,destroyer escort,19 September 1943,"to Philippines 1967, lost in typhoon 1981",United States,"1,240"
Borage,Flower,corvette,29 April 1942,Transferred to the Irish Naval Service,Royal Navy,925
Bordelon,Gearing,destroyer,05 June 1945,to Iran 1977,United States,"2,250"
Borea,Sauro,destroyer,28 January 1927,Sunk by aircraft from HMS Illustrious in Benghazi harbor with a loss of one man.,Regia Marina,"1,058"
Boreas,B,destroyer,20 February 1931,"to Greece as Salamis 1944, scrapped 1951",Royal Navy,"1,350"
Borie (I),Clemson,destroyer,24 March 1920,sank 2 November 1943 after ramming and sinking U-405,United States,"1,200"
Borie (II),Sumner,destroyer,21 September 1944,"to Argentina 1972, scrapped 1984",United States,"2,200"
Borum,Buckley,destroyer escort,30 November 1943,"decommissioned 1946, scrapped 1966",United States,"1,400"
Boston,Baltimore class,heavy cruiser,30 June 1943,"decommissioned 1970, scrapped 1975",United States,"17,200"
Bostwick,Cannon,destroyer escort,01 December 1943,"to Republic of China 1948, scrapped 1972",United States,"1,240"
Bougainville,Casablanca,escort carrier,18 June 1944,"decommissioned 1946, scrapped 1960",United States,"7,800"
Bowers,Buckley,destroyer escort,27 January 1944,to Philippines 1961,United States,"1,400"
Boxer,,"landing ship, tank",10 April 1943,paid off 1958,Royal Navy,"3,620"
Boxer,Ticonderoga,aircraft carrier,16 April 1945,"decommissioned 1 December 1969, scrapped 1971",United States,"30,800"
Boyd,Fletcher,destroyer,08 May 1943,"to Turkey 1969, scrapped 1981",United States,"2,050"
Boyle,Benson,destroyer,15 August 1942,"decommissioned 1946, sunk as target 1973",United States,"1,620"
Brackett,Evarts,destroyer escort,18 October 1943,scrapped 1947,United States,"1,140"
Bracui,Cannon,destroyer escort,29 September 1943,"to Brazil 15 August 1944, paid off 11 July 1972",United States,"1,240"
Bradford,Town,destroyer,08 October 1940,scrapped 1946,Royal Navy,"1,200"
Bradford,Fletcher,destroyer,12 June 1943,"to Greece 1962, scrapped 1981",United States,"2,050"
Bragadin,Bragadin,submarine,16 November 1931,09/09/1943. Stricken,Regia Marina,981
Braid,River,frigate,21 January 1944,"to Free French as Aventure 21 January 1944, paid off 1964",Royal Navy,"1,370"
Braine,Fletcher,destroyer,11 May 1943,"to Argentina 1971, sunk as target 1983",United States,"2,050"
Bramham,Hunt,destroyer escort,16 June 1942,"paid off March 1943, scrapped 1960",Royal Navy,"1,050"
Brandenburg,,minelayer,01 May 1943,"captured French transport Kita, sunk 21 September 1943",Kriegsmarine,"3,894"
Brandon,Flower,corvette,22 July 1941,paid off 22 June 1945,Royal Canadian Navy,925
Brantford,Flower,corvette,15 May 1942,paid off 17 August 1945,Royal Canadian Navy,925
Brazen,B,destroyer,08 April 1931,sunk 20 July 1940,Royal Navy,"1,350"
Breckinridge,Wickes,destroyer,27 February 1919,scrapped 1946,United States,"1,190"
Brecon,Hunt,destroyer escort,18 December 1942,Paid off 12 December 1945,Royal Navy,"1,175"
Breeman,Cannon,destroyer escort,12 December 1943,"to Republic of China 1948, scrapped 1972",United States,"1,240"
Breese,Wickes,minelayer destroyer,23 October 1918,scrapped May 1946,United States,"1,190"
Bremerton,Baltimore class,heavy cruiser,29 April 1945,"decommissioned 1960, scrapped 1974",United States,"17,200"
Brennan,Evarts,destroyer escort,20 January 1943,scrapped 1946,United States,"1,140"
Bretagne,Bretagne,super dreadnought,01 September 1915,sunk 3 July 1940,French Navy,"22,200"
Breton,Bogue,escort carrier,12 April 1943,"decommissioned 1946, scrapped 1972",United States,"7,800"
Bright,Cannon,destroyer escort,30 June 1944,"to France 1950, scrapped 1965",United States,"1,240"
Brighton,Town,destroyer,23 September 1940,to USSR as Zharki 16 July 1944,Royal Navy,"1,200"
Brilliant,B,destroyer,21 February 1931,scrapped August 1947,Royal Navy,"1,350"
Brin,Brin,submarine,3 April 1938,"Surrendered to the Allies in 1943, discarded Feb 1948",Regia Marina,"1,000"
Brisk,Flower modified,corvette,06 December 1942,"Sold, 18 October 1946",United States,"1,015"
Brissenden,Hunt,destroyer escort,12 February 1943,Paid off 19 June 1948,Royal Navy,"1,175"
Brister,Edsall,destroyer escort,30 November 1943,scrapped 1968,United States,"1,250"
Bristol (I),Gleaves,destroyer,22 October 1941,sunk 13 October 1943,United States,"1,630"
Bristol (II),Sumner,destroyer,17 March 1945,"to Taiwan 1969, scrapped 1993",United States,"2,200"
Broadwater,Town,destroyer,09 October 1940,sunk 18 October 1941,Royal Navy,"1,200"
Broadway,Town,destroyer,08 October 1940,scrapped 1947,Royal Navy,"1,200"
Brocklesby,Hunt,destroyer escort,09 April 1941,"paid off 22 June 1963, scrapped 1968",Royal Navy,"1,050"
Bronstein,Cannon,destroyer escort,13 December 1943,"to Uruguay 1952, scrapped 1988",United States,"1,240"
Bronzo,Acciaio,submarine,28 September 1941,captured 12.7.43 by British destroyers,Regia Marina,697
Brooklyn,Brooklyn,light cruiser,30 September 1937,"Decommissioned 3 January 1947, sold to Chile. Sank in Pacific 1992",United States,"9,950"
Brooks,Clemson,destroyer,18 June 1920,"constructive loss 6 January 1945, scrapped",United States,"1,200"
Broome,Clemson,destroyer,31 October 1919,scrapped 1946,United States,"1,200"
Brough,Edsall,destroyer escort,18 September 1943,scrapped 1967,United States,"1,250"
Brown,Fletcher,destroyer,10 July 1943,"to Greece 1962, scrapped 1981",United States,"2,050"
Brownson,Fletcher,destroyer,03 February 1943,sunk 26 December 1943,United States,"2,050"
Brummer,,minelayer,09 April 1940,"Captured from Norway 9 April 1940, sunk May 1945",Kriegsmarine,"1,924"
Brush,Sumner,destroyer,17 April 1944,to Taiwan 1969,United States,"2,200"
Brutus,,Special Service Ship,,paid off March 1941,Royal Navy,"5,945"
Bryant,Fletcher,destroyer,04 December 1943,"decommissioned 1947, sunk as a target 1969",United States,"2,050"
Bryony,Flower,corvette,04 June 1942,sunk on 15 April 1941by aircraft,Royal Navy,925
Buchanan (II),Gleaves,destroyer,21 March 1942,"to Turkey 1949, scrapped 1976",United States,"1,630"
Buck,Sims,destroyer,15 May 1940,sunk 9 October 1943,United States,"1,570"
Buckingham,River,frigate,02 November 1944,paid off 23 March 1965,Royal Canadian Navy,"1,445"
Buckingham,Haskell class attack transport,,23 January 1945,scrapped 1974,United States,536
Buckley,Buckley,destroyer escort,30 April 1943,scrapped 1969,United States,"1,400"
"Bucovina	",Sava,monitor,01 January 1920,"Built in Austria-Hungary in 1915, acquired by Romania after World War I; fitted for service at sea with one depth charge thrower",Romania,580
